,airport_code,location,name
224,OWB,"Owensboro, KY", Owensboro Daviess County Regional
225,PBG,"Plattsburgh, NY", Plattsburgh International
226,PGD,"Punta Gorda, FL", Punta Gorda Airport
227,PIA,"Peoria, IL", General Downing - Peoria International
228,PIE,"St. Petersburg, FL", St Pete Clearwater International
229,PSC,"Pasco/Kennewick/Richland, WA", Tri Cities
230,PSM,"Portsmouth, NH", Portsmouth International at Pease
231,PVU,"Provo, UT", Provo Municipal
232,RAP,"Rapid City, SD", Rapid City Regional
233,RDM,"Bend/Redmond, OR", Roberts Field
234,RFD,"Rockford, IL", Chicago/Rockford International
235,SCE,"State College, PA", University Park
236,SCK,"Stockton, CA", Stockton Metropolitan
237,SFB,"Sanford, FL", Orlando Sanford International
238,SMX,"Santa Maria, CA", Santa Maria Public/Capt. G. Allan Hancock Field
239,SPI,"Springfield, IL", Abraham Lincoln Capital
240,STC,"St. Cloud, MN", St. Cloud Regional
241,TOL,"Toledo, OH", Toledo Express
242,USA,"Concord, NC", Concord Padgett Regional
243,ITO,"Hilo, HI", Hilo International
244,LGB,"Long Beach, CA", Long Beach Airport
245,PPG,"Pago Pago, TT", Pago Pago International
246,ABI,"Abilene, TX", Abilene Regional
247,ACT,"Waco, TX", Waco Regional
248,ALO,"Waterloo, IA", Waterloo Regional
249,BFL,"Bakersfield, CA", Meadows Field
250,BPT,"Beaumont/Port Arthur, TX", Jack Brooks Regional
251,BRO,"Brownsville, TX", Brownsville South Padre Island International
252,CLL,"College Station/Bryan, TX", Easterwood Field
253,CMI,"Champaign/Urbana, IL", University of Illinois/Willard
254,COU,"Columbia, MO", Columbia Regional
255,CRP,"Corpus Christi, TX", Corpus Christi International
256,DBQ,"Dubuque, IA", Dubuque Regional
257,DRT,"Del Rio, TX", Del Rio International
258,FSM,"Fort Smith, AR", Fort Smith Regional
259,GCK,"Garden City, KS", Garden City Regional
260,GGG,"Longview, TX", East Texas Regional
261,GRK,"Killeen, TX", Robert Gray AAF
262,HHH,"Hilton Head, SC", Hilton Head Airport
263,LAW,"Lawton/Fort Sill, OK", Lawton-Fort Sill Regional
264,LCH,"Lake Charles, LA", Lake Charles Regional
